,,Unpolarized Performance of 490 nm Longpass Dichroic Mirror,,,,,,,
,,Wavelength(nm),% Transmission ,% Reflectance,,,,,
,,250,1.561454058,4.025084371,,,,,
,,251,1.056804567,3.929467099,,,,,
,,252,0.903808147,4.857200188,,,,,
,,253,2.261125923,3.832750799,,,,,
Product Raw Data,,254,0.30785278,6.382963009,,,,,
"Longpass Dichroic Mirror, 490 nm Cut-On",,255,2.504179895,5.245403076,,,,,
,,256,1.461420178,5.640770076,,,,,
Item #,"DMLP490T, DMLP490, DMLP490L, DMLP490R",257,1.407032132,6.268294367,,,,,
,,258,1.091270447,6.22462682,,,,,
,,259,1.368519664,6.756844378,,,,,
,,260,1.544577718,7.523423553,,,,,
"DISCLAIMER: The data presented here are typical. Slight variations in performance data will occur from lot to lot. Please contact Technical Support with any questions regarding the use or reliability of this data. This data may be used in publications. However, please cite Thorlabs as the source.",,261,0.832591534,7.993830795,,,,,
,,262,0.476905048,8.999618593,,,,,
,,263,1.241803408,9.418741511,,,,,
,,264,1.986940444,8.976048423,,,,,
,,265,1.62039721,10.37228446,,,,,
,,266,1.054314285,9.988966585,,,,,
,,267,1.646811724,10.55427136,,,,,
,,268,0.632174693,11.32435418,,,,,
,,269,1.633141518,11.94034913,,,,,
Additional Information:,,270,1.139217496,13.2478788,,,,,
"Measurements were made at a 45° incident angle on the DMLP490. Due to differing substrate thicknesses, the transmission may be different for other optics with the same dichroic coating.",,271,1.787635804,13.44444335,,,,,
,,272,1.989663184,13.8948919,,,,,
,,273,1.789750278,14.27911821,,,,,
,,274,0.851627081,14.77619502,,,,,
,,275,1.553463161,15.38031304,,,,,
,,276,2.392061591,15.31152756,,,,,
,,277,2.144855261,16.56261582,,,,,
,,278,2.621616722,16.193885,,,,,
,,279,1.150042027,18.03485931,,,,,
,,280,1.511142015,18.33931722,,,,,
,,281,0.826038554,19.03662411,,,,,
,,282,2.607630253,17.99142921,,,,,
,,283,1.793220878,19.64273313,,,,,
,,284,1.308707506,19.55953484,,,,,
,,285,1.326764554,20.63136088,,,,,
,,286,1.874233425,21.78753955,,,,,
,,287,1.923891485,21.39297429,,,,,
,,288,1.658764899,22.94472474,,,,,
,,289,0.643459976,23.95674814,,,,,
,,290,1.410975784,23.55619522,,,,,
,,291,1.167799145,24.25782568,,,,,
,,292,1.868073345,25.55063919,,,,,
,,293,2.527208448,25.05392508,,,,,
,,294,2.490554869,25.71672973,,,,,
,,295,0.680263937,28.05922927,,,,,
,,296,1.881147623,27.10564067,,,,,
,,297,1.387598336,28.2079493,,,,,
,,298,0.285738602,30.75862665,,,,,
,,299,2.098749817,29.90953437,,,,,
,,300,0.308143482,31.98947486,,,,,
,,301,1.563483715,32.58480045,,,,,
,,302,2.562229395,33.72661088,,,,,
,,303,0.476909138,34.88654284,,,,,
,,304,0.788184166,36.22634441,,,,,
,,305,2.054007471,36.19680493,,,,,
,,306,1.393300653,38.24203572,,,,,
,,307,1.913855434,38.51365948,,,,,
,,308,1.48225084,40.13040877,,,,,
,,309,1.859167099,41.8132099,,,,,
,,310,2.406936407,41.87191524,,,,,
,,311,1.782575488,42.98587828,,,,,
,,312,1.316883028,45.26710425,,,,,
,,313,0.572869763,46.04049727,,,,,
,,314,1.359573186,46.56062622,,,,,
,,315,2.486181319,47.40238429,,,,,
,,316,1.315643042,48.81213541,,,,,
,,317,0.934890628,48.69674302,,,,,
,,318,2.184559345,49.21160994,,,,,
,,319,1.074361458,50.42829971,,,,,
,,320,3.124719382,47.96923113,,,,,
,,321,1.238909245,49.07484459,,,,,
,,322,1.392569304,49.3816188,,,,,
,,323,1.411522269,48.10024623,,,,,
,,324,1.33150363,47.93671912,,,,,
,,325,1.992762149,46.06106845,,,,,
,,326,1.691861928,45.663986,,,,,
,,327,0.729552463,45.74062366,,,,,
,,328,1.084829271,44.57540087,,,,,
,,329,0.903635621,44.52145247,,,,,
,,330,0.468031928,45.847197,,,,,
,,331,1.81411171,47.18183581,,,,,
,,332,1.56271118,48.65091493,,,,,
,,333,1.925800026,51.14086669,,,,,
,,334,0.537237585,52.79989477,,,,,
,,335,0.487640932,52.41877291,,,,,
,,336,1.517787755,51.67542161,,,,,
,,337,0.350234941,49.47862414,,,,,
,,338,1.063102842,47.89250482,,,,,
,,339,0.332932912,48.59588908,,,,,
,,340,0.489233077,49.04830877,,,,,
,,341,0.453347012,52.56220633,,,,,
,,342,1.510322005,55.23180786,,,,,
,,343,0.285542071,58.55567236,,,,,
,,344,0.363269065,60.6179203,,,,,
,,345,0.609596193,61.37259365,,,,,
,,346,0.883841674,60.73354977,,,,,
,,347,0.479254693,59.18926172,,,,,
,,348,1.193094015,54.59281022,,,,,
,,349,1.578128174,48.65927034,,,,,
,,350,2.959570169,41.37093165,,,,,
,,351,4.151388064,35.95284739,,,,,
,,352,5.758982004,34.55818457,,,,,
,,353,6.351974935,38.78513688,,,,,
,,354,7.014691532,45.26352642,,,,,
,,355,6.049710738,53.53169954,,,,,
,,356,5.352251589,61.21978097,,,,,
,,357,4.674814761,65.85275631,,,,,
,,358,4.254968002,67.22379373,,,,,
,,359,4.983114891,66.53113858,,,,,
,,360,5.415640001,66.54387118,,,,,
,,361,6.189890533,68.04846906,,,,,
,,362,5.845826375,71.93215225,,,,,
,,363,4.376607679,76.74431459,,,,,
,,364,2.945047828,82.10358524,,,,,
,,365,2.173441537,85.81323473,,,,,
,,366,2.191396848,87.23401428,,,,,
,,367,3.399052426,88.02862551,,,,,
,,368,5.210135609,86.93817132,,,,,
,,369,6.435967595,86.3709391,,,,,
,,370,6.663579284,86.96169543,,,,,
,,371,5.681437162,88.01051041,,,,,
,,372,3.786568347,89.46748063,,,,,
,,373,2.557952285,90.23492086,,,,,
,,374,1.440954179,89.36408985,,,,,
,,375,0.822110146,87.83945392,,,,,
,,376,0.715627342,86.67121366,,,,,
,,377,0.695526004,87.25664239,,,,,
,,378,0.229581378,89.40893674,,,,,
,,379,0.23996608,92.62871489,,,,,
,,380,0.181498028,95.23379304,,,,,
,,381,0.432308301,97.02129623,,,,,
,,382,0.28224563,98.31886066,,,,,
,,383,0.423160657,98.5714756,,,,,
,,384,0.412843943,98.9456429,,,,,
,,385,0.295262344,98.77415761,,,,,
,,386,0.203557745,98.60800474,,,,,
,,387,0.090642087,98.18330394,,,,,
,,388,0.084132362,97.4466534,,,,,
,,389,0.478580199,96.61408387,,,,,
,,390,0.219430577,95.55771056,,,,,
,,391,0.354855761,95.04192762,,,,,
,,392,0.180009476,95.43803406,,,,,
,,393,0.086734489,96.44789565,,,,,
,,394,0.271858074,97.41237342,,,,,
,,395,0.138666367,98.25701759,,,,,
,,396,0.126883624,98.86666224,,,,,
,,397,0.24847354,99.00789509,,,,,
,,398,0.06680716,98.56447966,,,,,
,,399,0.051986646,98.01566824,,,,,
,,400,0.22288084,97.30349724,,,,,
,,401,0.163309209,97.10852666,,,,,
,,402,0.244019814,97.34182606,,,,,
,,403,0.158106055,97.6003923,,,,,
,,404,0.130288857,98.36508631,,,,,
,,405,0.179629523,98.89587573,,,,,
,,406,0.021512941,99.29734615,,,,,
,,407,0.229529519,99.40113858,,,,,
,,408,0.147646928,99.1364938,,,,,
,,409,0.091746274,98.62465154,,,,,
,,410,0.140580915,98.04582724,,,,,
,,411,0.128950495,97.35744673,,,,,
,,412,0.188869521,97.23673299,,,,,
,,413,0.197633088,97.4188531,,,,,
,,414,0.188353334,97.96332821,,,,,
,,415,0.144870136,98.58701029,,,,,
,,416,0.064899362,99.06662242,,,,,
,,417,0.056723601,99.45160904,,,,,
,,418,0.125868514,99.60002333,,,,,
,,419,0.063818823,99.49564885,,,,,
,,420,0.081048011,99.20479321,,,,,
,,421,0.07366673,98.82828494,,,,,
,,422,0.065981528,98.28957469,,,,,
,,423,0.082979038,97.82527451,,,,,
,,424,0.153538577,97.55531333,,,,,
,,425,0.147588026,97.67828947,,,,,
,,426,0.182868131,98.01995343,,,,,
,,427,0.118436139,98.55254125,,,,,
,,428,0.152606711,98.98884641,,,,,
,,429,0.085824139,99.33048339,,,,,
,,430,0.1005519,99.49894846,,,,,
,,431,0.125442361,99.65615743,,,,,
,,432,0.086792122,99.66055953,,,,,
,,433,0.037772207,99.49730042,,,,,
,,434,0.081092653,99.20644553,,,,,
,,435,0.046331429,98.81231087,,,,,
,,436,0.132978396,98.37856446,,,,,
,,437,0.095028367,97.98789195,,,,,
,,438,0.160893254,97.82205616,,,,,
,,439,0.166962596,97.78434021,,,,,
,,440,0.181942426,97.95757886,,,,,
,,441,0.243787169,98.20797147,,,,,
,,442,0.222044133,98.62832105,,,,,
,,443,0.137185082,98.92985688,,,,,
,,444,0.133924313,99.28410185,,,,,
,,445,0.070626335,99.52324294,,,,,
,,446,0.04133634,99.70324999,,,,,
,,447,0.082799202,99.86524969,,,,,
,,448,0.070748716,99.83458908,,,,,
,,449,0.050802796,99.8665479,,,,,
,,450,0.015899321,99.90019326,,,,,
,,451,0.052616948,99.88518895,,,,,
,,452,0.06734748,99.92407123,,,,,
,,453,0.080640237,99.8859686,,,,,
,,454,0.065498317,99.90358678,,,,,
,,455,0.037345666,99.9407237,,,,,
,,456,0.080233098,99.90361112,,,,,
,,457,0.056336402,99.88692453,,,,,
,,458,0.041594882,99.87256369,,,,,
,,459,0.070704505,99.89413005,,,,,
,,460,0.110072378,99.87811862,,,,,
,,461,0.070657351,99.8640877,,,,,
,,462,0.137153354,99.81046116,,,,,
,,463,0.142113514,99.81134843,,,,,
,,464,0.202786826,99.76508816,,,,,
,,465,0.213376737,99.67182182,,,,,
,,466,0.269162231,99.61849091,,,,,
,,467,0.374272883,99.51634384,,,,,
,,468,0.46037451,99.41001058,,,,,
,,469,0.587413479,99.31360975,,,,,
,,470,0.740670499,99.10661686,,,,,
,,471,0.988902502,98.90612775,,,,,
,,472,1.233706452,98.61373905,,,,,
,,473,1.607588682,98.27571968,,,,,
,,474,2.047253188,97.77210466,,,,,
,,475,2.687310446,97.06826827,,,,,
,,476,3.563384957,96.17556383,,,,,
,,477,4.782994278,94.91021788,,,,,
,,478,6.416426013,93.20315188,,,,,
,,479,8.572400726,90.99557603,,,,,
,,480,11.3429283,88.1018052,,,,,
,,481,14.76357725,84.65255648,,,,,
,,482,18.74200052,80.59471189,,,,,
,,483,23.25781588,76.09155031,,,,,
,,484,28.03391034,71.22653869,,,,,
,,485,32.91384196,66.28154249,,,,,
,,486,37.73727536,61.3961346,,,,,
,,487,42.65223288,56.50164974,,,,,
,,488,47.75292587,51.33191541,,,,,
,,489,53.25165367,45.80852359,,,,,
,,490,59.32888508,39.67528633,,,,,
,,491,66.00438118,33.0002022,,,,,
,,492,72.88046646,26.1153443,,,,,
,,493,79.38341332,19.58301259,,,,,
,,494,85.09698487,13.91812047,,,,,
,,495,89.65827942,9.368889558,,,,,
,,496,92.92395401,6.137149359,,,,,
,,497,95.0473404,4.082629578,,,,,
,,498,96.27779389,2.822007607,,,,,
,,499,96.95786667,2.206916251,,,,,
,,500,97.25638962,1.922411435,,,,,
,,501,97.3627472,1.868566407,,,,,
,,502,97.37994385,1.863895721,,,,,
,,503,97.26993561,1.966584134,,,,,
,,504,97.13964081,2.124243982,,,,,
,,505,96.9390297,2.320267874,,,,,
,,506,96.71930313,2.564337448,,,,,
,,507,96.47060395,2.849387248,,,,,
,,508,96.23165131,3.03475802,,,,,
,,509,96.05682755,3.226211042,,,,,
,,510,95.91604614,3.412715275,,,,,
,,511,95.82299423,3.538202365,,,,,
,,512,95.80716706,3.546026931,,,,,
,,513,95.78511811,3.543416358,,,,,
,,514,95.89715195,3.489339125,,,,,
