,,Unpolarized Performance of 950 nm Longpass Dichroic Mirror,,
,,Wavelength (nm),% Transmission,% Reflectance
,,250,0.682798505,4.651455555
,,251,0.35949716,4.306462824
,,252,0.501409585,3.193602459
,,253,1.045452416,2.353391604
Product Raw Data,,254,0.796401843,2.158615076
"Longpass Dichroic Mirror, 950 nm Cut-On",,255,0.442311347,2.329800341
,,256,0.502311468,1.825616669
Item #,"DMLP950T, DMLP950, DMLP950L, DMLP950R",257,0.642158493,1.596604838
,,258,0.460009389,1.272462859
,,259,0.053086428,1.840961023
,,260,0.747182518,1.115813073
"DISCLAIMER: The data presented here are typical. Slight variations in performance data will occur from lot to lot. Please contact Technical Support with any questions regarding the use or reliability of this data. This data may be used in publications. However, please cite Thorlabs as the source.",,261,0.5474751,1.292865695
,,262,0.327049974,1.276113113
,,263,0.862183303,1.074574561
,,264,0.47294642,1.984058214
,,265,1.24614358,1.865618468
,,266,0.431422293,2.858829379
,,267,0.775298253,4.267318916
,,268,0.697650388,5.840487155
,,269,0.17439536,8.794937839
Additional Information:,,270,0.61325109,10.97729874
"Measurements were made at a 45° incident angle on the DMLP950. Due to differing substrate thicknesses, the transmission may be different for other optics with the same dichroic coating.",,271,0.232069198,14.47517182
,,272,0.747199982,17.17171192
,,273,1.649834931,19.94943027
,,274,0.874535635,22.43136868
,,275,0.884165734,23.50152236
,,276,0.221384848,24.10977106
,,277,0.528041244,23.43758206
,,278,1.171538413,21.97311235
,,279,0.217210315,20.02926012
,,280,0.940220684,17.38520831
,,281,0.803970918,14.34656652
,,282,1.101131886,11.06221401
,,283,0.803216815,9.110510605
,,284,0.336660598,10.23245158
,,285,1.168988824,12.48996039
,,286,0.391540416,18.95329528
,,287,1.312803388,26.32906014
,,288,0.706766427,35.2787589
,,289,0.532580152,44.18907595
,,290,0.670329273,52.19983589
,,291,0.464420334,59.24524458
,,292,0.414848998,64.62380304
,,293,0.99123463,67.39197252
,,294,0.655251876,67.59456854
,,295,0.715584785,65.52747571
,,296,1.025852963,63.23340155
,,297,0.867813945,61.34165153
,,298,1.06393981,60.12964611
,,299,0.678441401,59.38138288
,,300,0.842704803,59.3358739
,,301,0.606314242,59.59609869
,,302,1.226482094,60.72028973
,,303,0.100938388,62.79429895
,,304,0.708694533,66.11694415
,,305,0.658988953,70.18013831
,,306,0.605581891,74.46487197
,,307,0.436987013,78.37364875
,,308,0.647751242,81.12874057
,,309,1.195245743,82.64163249
,,310,0.991323858,81.87509713
,,311,1.534916401,80.32771157
,,312,0.958524018,78.19137125
,,313,0.434439778,76.60284137
,,314,0.763866234,75.71197101
,,315,0.452508271,76.41921628
,,316,1.809806884,77.14102266
,,317,2.492175579,78.12183774
,,318,3.908864908,77.59674489
,,319,6.55409664,74.64001078
,,320,10.70061803,69.08890896
,,321,15.26409721,63.57187385
,,322,19.24121308,59.01545239
,,323,22.04092407,57.23115199
,,324,22.63938737,58.5132337
,,325,20.8132546,63.310344
,,326,17.9558742,69.32723415
,,327,14.3410759,75.32581829
,,328,11.91030073,79.05832955
,,329,10.92267561,80.61859533
,,330,11.36764813,80.07688025
,,331,13.24593639,78.0368209
,,332,14.33097506,77.63509194
,,333,15.57451368,77.65161912
,,334,15.03841615,78.62354293
,,335,14.76604629,80.0372478
,,336,15.05940032,79.79754624
,,337,16.61253309,78.1106814
,,338,19.97958994,74.82512353
,,339,24.14765931,70.10048941
,,340,28.71150875,64.76562618
,,341,32.78736019,60.98336804
,,342,35.18826199,59.04639
,,343,35.23163509,59.07660711
,,344,33.76251316,61.02595369
,,345,31.51899767,63.7982468
,,346,29.29244662,66.34842342
,,347,28.2165289,68.08291117
,,348,27.83600808,68.07813174
,,349,29.34786415,66.78422919
,,350,30.96587372,64.56899699
,,351,32.76362991,62.14339771
,,352,35.244874,59.63690926
,,353,37.05783082,57.80433613
,,354,38.67150307,56.28741373
,,355,39.72876644,55.57033414
,,356,40.46826554,55.5417409
,,357,40.10412884,56.14971437
,,358,38.64554692,57.66388819
,,359,37.07910967,59.77853351
,,360,34.51506758,62.33072387
,,361,31.85596657,65.41499008
,,362,29.03784418,68.36751224
,,363,26.26143885,71.42893484
,,364,23.47031832,74.28443971
,,365,20.63644361,76.90974931
,,366,18.3060956,79.42906965
,,367,15.86889601,81.63045629
,,368,13.80772114,83.88413394
,,369,12.00637436,85.75730529
,,370,10.36600971,87.3989227
,,371,9.217156651,88.72446399
,,372,8.595977782,89.5606892
,,373,8.415054323,89.74748881
,,374,9.021401884,89.3507321
,,375,9.45275259,88.91538022
,,376,9.662094564,88.61065455
,,377,9.839413434,88.72601937
,,378,9.315589696,89.26216717
,,379,8.889492004,89.84039838
,,380,8.541128277,90.24331899
,,381,8.34044522,90.5629353
,,382,8.088773982,90.96978223
,,383,7.692402931,91.43340688
,,384,7.137428465,92.14093241
,,385,6.239300579,93.10294143
,,386,5.180455247,94.1740736
,,387,4.005496405,95.46739009
,,388,2.814443795,96.60800281
,,389,1.981008023,97.52563934
,,390,1.245923966,98.28555366
,,391,0.747016625,98.71841735
,,392,0.625482187,98.92204469
,,393,0.430153213,99.11225279
,,394,0.468418136,99.05223778
,,395,0.473205294,99.05809249
,,396,0.513574243,99.04903298
,,397,0.592771314,99.00292527
,,398,0.521166626,99.00519771
,,399,0.498250818,99.04586331
,,400,0.449317375,99.09538316
,,401,0.40626258,99.14407528
,,402,0.343742032,99.22120114
,,403,0.245146743,99.26933697
,,404,0.322618589,99.29672138
,,405,0.265559569,99.31934812
,,406,0.290397382,99.28442169
,,407,0.335680796,99.2465378
,,408,0.39436138,99.18748152
