LED Item #,M780L3,,,M780LP1,,,M810L3,,,M850L3,,,M850LP1,,,M880L3,,,M940L3,,,M970L4,,,M1050L2,,,M1050L4,,,M1100L1,,,M1300L3,,,M1300L4,,,M1450L4,,,M1550L3,,,M1650L4,
Min Output Power (mW),200,,,800,,,325,,,900,,,1400,,,300,,,800,,,600,,,50,,,160,,,168,,,25,,,122.8,,,81.8,,,31,,,13,
Scaling Constant,5.34E+00,,,2.24E+01,,,8.93E+00,,,2.61E+01,,,3.32E+01,,,5.47E+00,,,1.09E+01,,,9.04E+00,,,6.50E-01,,,3.52E+00,,,2.40E+00,,,2.75E-01,,,1.19E+00,,,6.80E-01,,,2.77E-01,,,7.94E-02,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm) ,Spectral Flux (mW/nm),,Wavelength (nm) ,Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,498.5586,8.28E-03,,199.9754608,0.00E+00,,199.9754608,0.00E+00,,497.05385,1.74E-04,,199.9754608,0.00E+00,,501.18412,4.37E-04,,498.5586,4.32E-02,,199.97546,0.00E+00,,799.98,2.16E-03,,800.01,5.97E-05,,600.175,6.16E-03,,999.83539,1.37E-02,,600.0,2.00E-02,,1000.00000,4.65E-04,,999.74,0.00E+00,,999.73,4.45E-03
,498.71213,1.09E-02,,200.1769173,0.00E+00,,200.1769173,0.00E+00,,497.20874,7.83E-04,,200.1769173,0.00E+00,,501.33621,3.29E-05,,498.71213,4.34E-02,,200.17692,0.00E+00,,800.04,3.33E-03,,800.24,2.75E-04,,600.285,3.44E-03,,999.95782,1.37E-02,,601.0,1.45E-02,,1001.00000,5.06E-04,,999.79,0.00E+00,,999.78,4.42E-03
,498.86566,9.29E-03,,200.3783926,0.00E+00,,200.3783926,0.00E+00,,497.36365,0.00E+00,,200.3783926,0.00E+00,,501.48831,2.78E-04,,498.86566,4.10E-02,,200.37839,0.00E+00,,800.11,2.39E-03,,800.48,6.19E-05,,600.395,4.73E-03,,1000.08032,1.36E-02,,602.0,3.25E-02,,1002.00000,4.12E-04,,999.84,0.00E+00,,999.83,4.37E-03
,499.0192,1.05E-02,,200.5798867,0.00E+00,,200.5798867,0.00E+00,,497.51856,0.00E+00,,200.5798867,0.00E+00,,501.64043,3.13E-04,,499.0192,4.33E-02,,200.57989,0.00E+00,,800.17,1.66E-03,,800.72,3.58E-04,,600.506,3.77E-03,,1000.20282,1.35E-02,,603.0,3.43E-02,,1003.00000,4.41E-04,,999.89,0.00E+00,,999.88,4.31E-03
,499.17275,9.93E-03,,200.7813996,0.00E+00,,200.7813996,0.00E+00,,497.67348,0.00E+00,,200.7813996,0.00E+00,,501.79255,2.93E-04,,499.17275,4.16E-02,,200.7814,0.00E+00,,800.24,2.01E-03,,800.96,1.03E-04,,600.616,6.72E-03,,1000.32532,1.34E-02,,604.0,2.66E-02,,1004.00000,4.71E-04,,999.93,0.00E+00,,999.93,4.25E-03
,499.32631,3.76E-03,,200.9829313,0.00E+00,,200.9829313,0.00E+00,,497.82841,7.83E-04,,200.9829313,0.00E+00,,501.94469,3.47E-04,,499.32631,4.33E-02,,200.98293,0.00E+00,,800.30,2.48E-03,,801.19,3.53E-04,,600.727,3.66E-03,,1000.44794,1.33E-02,,605.0,1.44E-02,,1005.00000,5.66E-04,,999.98,0.00E+00,,999.98,4.20E-03
,499.47988,7.15E-03,,201.1844818,0.00E+00,,201.1844818,0.00E+00,,497.98334,0.00E+00,,201.1844818,0.00E+00,,502.09684,2.03E-04,,499.47988,4.09E-02,,201.18448,0.00E+00,,800.36,2.30E-03,,801.43,6.40E-05,,600.837,5.43E-03,,1000.57050,1.32E-02,,606.0,2.49E-02,,1006.00000,4.72E-04,,1000.03,0.00E+00,,1000.03,4.16E-03
,499.63346,6.94E-03,,201.3860511,0.00E+00,,201.3860511,0.00E+00,,498.13829,7.83E-04,,201.3860511,0.00E+00,,502.249,3.92E-04,,499.63346,4.27E-02,,201.38605,0.00E+00,,800.43,1.25E-03,,801.67,2.62E-04,,600.948,3.34E-03,,1000.69312,1.31E-02,,607.0,1.18E-02,,1007.00000,4.34E-04,,1000.08,0.00E+00,,1000.08,4.15E-03
