LED Item #,M365L3,,,M365L3,,,M365LP1,,,M375L4,,,M385L2,,,M385L3,,,M385LP1,,,M395L4,,,M395L5,,,M395LP1,,,M405L4,,,M405LP1,
Min Output Power (mW),880,,,880,,,1350,,,1270,,,270,,,1240,,,1650,,,400,,,1130,,,1420,,,1000,,,1200,
Scaling Constant,7.31E+01,,,7.31E+01,,,1.01E+02,,,1.61E+02,,,2.15E+01,,,9.84E+01,,,1.23E+02,,,2.42E+01,,,7.15E+01,,,8.98E+01,,,6.24E+01,,,7.33E+01,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,2.00E+02,9.21E-02,,2.00E+02,9.21E-02,,199.9754608,-9.64E-02,,181.08231,0.00E+00,,319.06123,7.47E-04,,200.03757,9.66E-02,,199.9754608,0.00E+00,,199.97546,0.00E+00,,200.0375671,5.81E-03,,200.0375671,7.30E-03,,192.9251862,0.00E+00,,199.9754608,0.00E+00
,2.00E+02,2.80E-02,,2.00E+02,2.80E-02,,200.1769173,-5.10E-02,,181.15157,0.00E+00,,319.17559,0.00E+00,,200.24028,-6.62E-02,,200.1769173,0.00E+00,,200.17692,0.00E+00,,200.2402802,-1.72E-02,,200.2402802,-2.16E-02,,193.1299744,0.00E+00,,200.1769173,0.00E+00
,2.00E+02,8.75E-03,,2.00E+02,8.75E-03,,200.3783926,9.98E-03,,181.22083,0.00E+00,,319.28994,0.00E+00,,200.44301,-3.73E-02,,200.3783926,0.00E+00,,200.37839,0.00E+00,,200.4430084,3.44E-02,,200.4430084,4.33E-02,,193.3347931,0.00E+00,,200.3783926,0.00E+00
,2.01E+02,3.72E-02,,2.01E+02,3.72E-02,,200.5798867,-1.32E-02,,181.29011,0.00E+00,,319.40428,1.86E-02,,200.64577,-1.63E-02,,200.5798867,0.00E+00,,200.57989,0.00E+00,,200.6457672,2.95E-02,,200.6457672,3.71E-02,,193.5396118,0.00E+00,,200.5798867,0.00E+00
,2.01E+02,2.82E-02,,2.01E+02,2.82E-02,,200.7813996,8.45E-02,,181.35938,0.00E+00,,319.51863,0.00E+00,,200.84853,1.60E-02,,200.7813996,0.00E+00,,200.7814,0.00E+00,,200.848526,4.75E-02,,200.848526,5.97E-02,,193.7444458,0.00E+00,,200.7813996,0.00E+00
,2.01E+02,2.65E-02,,2.01E+02,2.65E-02,,200.9829313,1.77E-02,,181.42866,0.00E+00,,319.63297,8.20E-03,,201.05130,8.15E-04,,200.9829313,0.00E+00,,200.98293,0.00E+00,,201.0513,-3.42E-02,,201.0513,-4.29E-02,,193.949295,0.00E+00,,200.9829313,0.00E+00
,2.01E+02,-2.02E-02,,2.01E+02,-2.02E-02,,201.1844818,5.42E-02,,181.49795,0.00E+00,,319.7473,0.00E+00,,201.25410,-4.33E-03,,201.1844818,0.00E+00,,201.18448,0.00E+00,,201.2541046,5.71E-02,,201.2541046,7.17E-02,,194.1541595,0.00E+00,,201.1844818,0.00E+00
,2.01E+02,2.40E-02,,2.01E+02,2.40E-02,,201.3860511,-6.48E-02,,181.56724,0.00E+00,,319.86163,7.08E-03,,201.45692,-8.06E-02,,201.3860511,0.00E+00,,201.38605,0.00E+00,,201.4569244,-2.28E-02,,201.4569244,-2.87E-02,,194.3590393,0.00E+00,,201.3860511,0.00E+00
,2.02E+02,9.51E-02,,2.02E+02,9.51E-02,,201.5876391,8.65E-02,,181.63654,0.00E+00,,319.97596,0.00E+00,,201.65974,2.46E-02,,201.5876391,0.00E+00,,201.58764,0.00E+00,,201.6597443,5.57E-02,,201.6597443,6.99E-02,,194.5639343,0.00E+00,,201.5876391,0.00E+00
,2.02E+02,-7.56E-03,,2.02E+02,-7.56E-03,,201.7892459,-4.61E-02,,181.70584,0.00E+00,,320.09028,0.00E+00,,201.86259,-4.43E-02,,201.7892459,0.00E+00,,201.78925,0.00E+00,,201.8625946,-3.17E-02,,201.8625946,-3.98E-02,,194.7688293,0.00E+00,,201.7892459,0.00E+00
,2.02E+02,9.89E-02,,2.02E+02,9.89E-02,,201.9908715,2.30E-01,,181.77515,0.00E+00,,320.2046,2.99E-03,,202.06546,1.25E-01,,201.9908715,0.00E+00,,201.99087,0.00E+00,,202.0654602,6.84E-02,,202.0654602,8.59E-02,,194.9737549,0.00E+00,,201.9908715,0.00E+00
