LED Item #,M415LP1,,,M415L4,,,M430L5,,,M450LP2,,,M455L4,,,M470L5,,,M490L4,,,M505L4,,,M530L4,,,MINTL5,,,M565L3,,,M590L4,,,M595L4,,,M617L3,,,M625L4,,,M660L4,,,M680L4,,,M700L4,,,M730L5,
Min Output Power (mW),1640,,,1310,,,529.2,,,2118.1,,,1150,,,809,,,205,,,400,,,370,,,650,,,880,,,230,,,820,,,600,,,700,,,940,,,180,,,80,,,540,
Scaling Constant,1.01E+02,,,8.09E+01,,,2.48E+01,,,9.19E+01,,,5.06E+01,,,2.63E+01,,,6.66E+00,,,9.67E+00,,,8.95E+00,,,4.83E+00,,,7.89E+00,,,1.17E+01,,,9.82E+00,,,3.25E+01,,,2.99E+01,,,3.68E+01,,,6.83E+00,,,3.30E+00,,,1.22E+01,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,199.97546,0.00E+00,,200.03757,0.00E+00,,196.099002,0.00E+00,,199.76,0.00E+00,,200.0,0.00E+00,,200.0,0.00E+00,,200.037573,0.00E+00,,200.03757,0.00E+00,,200.03757,9.27E-05,,350,0.00E+00,,199.9754608,0.00E+00,,200.0,0.00E+00,,200.0375671,7.05E-03,,320.14818,3.94E-04,,200.03757,1.02E-02,,199.97546,0.00E+00,,200.037573,0.00E+00,,200.037573,0.00E+00,,200.0,0.00E+00
,200.17692,0.00E+00,,200.24029,0.00E+00,,196.3067951,0.00E+00,,199.96,0.00E+00,,200.2,0.00E+00,,200.2,0.00E+00,,200.2402851,0.00E+00,,200.24029,0.00E+00,,200.24028,0.00E+00,,351,0.00E+00,,200.1769173,0.00E+00,,200.2,0.00E+00,,200.2402802,2.64E-03,,320.25686,3.71E-04,,200.24028,0.00E+00,,200.17692,0.00E+00,,200.2402851,0.00E+00,,200.2402851,0.00E+00,,200.2,0.00E+00
,200.37839,0.00E+00,,200.44301,0.00E+00,,196.5145993,0.00E+00,,200.16,0.00E+00,,200.4,0.00E+00,,200.4,0.00E+00,,200.4430143,0.00E+00,,200.44301,0.00E+00,,200.44301,1.18E-04,,352,0.00E+00,,200.3783926,0.00E+00,,200.4,0.00E+00,,200.4430084,6.68E-03,,320.36556,3.48E-04,,200.44301,7.59E-03,,200.37839,0.00E+00,,200.4430143,0.00E+00,,200.4430143,0.00E+00,,200.4,0.00E+00
,200.57989,0.00E+00,,200.64576,0.00E+00,,196.7224146,0.00E+00,,200.37,0.00E+00,,200.6,0.00E+00,,200.6,0.00E+00,,200.6457606,0.00E+00,,200.64576,0.00E+00,,200.64577,0.00E+00,,353,0.00E+00,,200.5798867,0.00E+00,,200.6,0.00E+00,,200.6457672,-3.23E-03,,320.47425,3.60E-04,,200.64577,0.00E+00,,200.57989,0.00E+00,,200.6457606,0.00E+00,,200.6457606,0.00E+00,,200.6,0.00E+00
,200.7814,0.00E+00,,200.84852,0.00E+00,,196.9302411,0.00E+00,,200.57,0.00E+00,,200.8,0.00E+00,,200.8,0.00E+00,,200.848524,0.00E+00,,200.84852,0.00E+00,,200.84853,1.47E-04,,354,0.00E+00,,200.7813996,0.00E+00,,200.8,0.00E+00,,200.848526,-1.70E-04,,320.58296,3.07E-04,,200.84853,1.46E-02,,200.7814,0.00E+00,,200.848524,0.00E+00,,200.848524,0.00E+00,,200.8,0.00E+00
,200.98293,0.00E+00,,201.0513,0.00E+00,,197.1380787,0.00E+00,,200.77,0.00E+00,,201.1,0.00E+00,,201.1,0.00E+00,,201.0513046,0.00E+00,,201.0513,0.00E+00,,201.0513,0.00E+00,,355,0.00E+00,,200.9829313,0.00E+00,,201.1,0.00E+00,,201.0513,-5.01E-03,,320.69167,2.64E-04,,201.0513,0.00E+00,,200.98293,0.00E+00,,201.0513046,0.00E+00,,201.0513046,0.00E+00,,201.1,0.00E+00
,201.18448,0.00E+00,,201.2541,0.00E+00,,197.3459274,0.00E+00,,200.97,0.00E+00,,201.3,0.00E+00,,201.3,0.00E+00,,201.2541023,0.00E+00,,201.2541,0.00E+00,,201.2541,1.13E-04,,356,0.00E+00,,201.1844818,0.00E+00,,201.3,0.00E+00,,201.2541046,7.40E-03,,320.80039,2.34E-04,,201.2541,6.27E-03,,201.18448,0.00E+00,,201.2541023,0.00E+00,,201.2541023,0.00E+00,,201.3,0.00E+00
