,,A Comparisons of Thorlabs' Thin Film Silver Mirror Coatings,,,,,
,,Protected Silver (-P01),,Protected Silver (-P02),,Ultrafast-Enhanced Silver (-AG),
,,Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%)
,,0.23,32.05956,0.35,47.25492,0.649,93.48125
,,0.24,12.79264,0.36,81.36537,0.651,92.44975
,,0.25,16.80748,0.37,92.79789,0.653,91.7447
,,0.26,24.80127,0.38,95.19368,0.655,91.542145
Product Raw Data,,0.27,33.42666,0.39,95.59342,0.657,91.697555
"Silver Coating Reflectance, 45° AOI",,0.28,39.33633,0.4,95.69456,0.659,91.98743
,,0.3,21.60199,0.41,95.80474,0.661,92.01907
DISCLAIMER: The data presented here are typical. Slight variations in performance data will occur from lot to lot. Please contact Technical Support with any questions regarding the use or reliability of this data.,,0.31,21.39887,0.42,95.85333,0.663,92.17107
,,0.32,36.95072,0.43,95.96318,0.665,92.435185
,,0.33,66.33795,0.44,96.09087,0.667,92.782935
,,0.34,83.17188,0.45,96.47879,0.669,93.17373
,,0.35,84.81982,0.46,97.0925,0.671,93.571865
,,0.36,83.3016,0.47,97.58958,0.673,93.95575
"This data may be used in publications. However, please cite Thorlabs as the source.",,0.37,81.65155,0.48,97.8139,0.675,94.317135
,,0.38,82.19792,0.49,97.84624,0.677,94.657775
,,0.39,85.45037,0.5,97.86516,0.679,94.987045
Additional Information:,,0.4,88.71807,0.51,97.73736,0.681,95.30959
,,0.41,91.25043,0.52,97.60194,0.683,95.627065
,,0.42,93.09852,0.53,97.41424,0.685,95.94475
,,0.43,94.34188,0.54,97.20736,0.687,96.261615
,,0.44,95.12392,0.55,96.89902,0.689,96.570065
,,0.45,95.73861,0.56,96.62766,0.691,96.86609
,,0.46,96.07818,0.57,96.29767,0.693,97.15039
,,0.47,96.27313,0.58,95.99789,0.695,97.42007
,,0.48,96.43713,0.59,95.81166,0.697,97.66675
,,0.49,96.52764,0.6,95.73385,0.699,97.886385
,,0.5,96.55209,0.61,95.77855,0.701,98.079185
,,0.51,96.50419,0.62,95.9948,0.703,98.24661
,,0.52,96.42279,0.63,96.24107,0.705,98.39209
,,0.53,96.37185,0.64,96.5128,0.707,98.517365
,,0.54,96.33421,0.65,96.74629,0.709,98.626615
,,0.55,96.34123,0.66,97.02431,0.711,98.726315
,,0.56,96.21805,0.67,97.21084,0.713,98.81802
,,0.57,96.07214,0.68,97.40211,0.715,98.89857
,,0.58,95.904,0.69,97.54714,0.717,98.96639
,,0.59,95.85272,0.7,97.6914,0.719,99.023975
,,0.6,95.75384,0.71,97.77629,0.721,99.074065
,,0.61,95.73035,0.72,97.87195,0.723,99.11743
,,0.62,95.72144,0.73,97.94031,0.725,99.153935
,,0.63,95.7127,0.74,98.04766,0.727,99.18659
,,0.64,95.71157,0.75,98.12633,0.729,99.22134
,,0.65,95.72349,0.76,98.14156,0.731,99.25489
,,0.66,95.68295,0.77,98.19912,0.733,99.28534
,,0.67,95.66181,0.78,98.22209,0.735,99.314865
,,0.68,95.58834,0.79,98.27613,0.737,99.339565
,,0.69,95.57215,0.8,98.30511,0.739,99.36009
,,0.7,95.39356,0.81,98.3178,0.741,99.377845
,,0.71,95.20549,0.82,98.34468,0.743,99.39207
,,0.72,95.09069,0.83,98.3548,0.745,99.40366
,,0.73,95.14138,0.84,98.37939,0.747,99.41732
,,0.74,95.17128,0.85,98.354,0.749,99.43073
,,0.75,95.26094,0.86,98.38661,0.751,99.439655
,,0.76,95.30012,0.87,98.4503,0.753,99.451185
,,0.77,95.34554,0.88,98.49039,0.755,99.462975
,,0.78,95.39596,0.89,98.35817,0.757,99.47032
,,0.79,95.47471,0.9,98.36933,0.759,99.477205
,,0.8,95.53123,0.91,98.43189,0.761,99.48573
,,0.81,95.78107,0.92,98.34256,0.763,99.495955
,,0.82,95.94608,0.93,98.32362,0.765,99.508225
,,0.83,95.96554,0.94,98.32398,0.767,99.52059
,,0.84,95.97104,0.95,98.26347,0.769,99.530955
,,0.85,96.11861,0.96,98.27149,0.771,99.543135
,,0.86,96.31097,0.97,98.26216,0.773,99.556275
,,0.87,96.34213,0.98,98.24268,0.775,99.565455
,,0.88,96.46647,0.99,98.19235,0.777,99.570865
,,0.89,96.51111,1,98.17317,0.779,99.575545
,,0.9,96.60538,1.01,98.19258,0.781,99.581405
,,0.91,96.63673,1.02,98.16829,0.783,99.584975
,,0.92,96.65579,1.03,98.1526,0.785,99.587705
,,0.93,96.7137,1.04,98.15704,0.787,99.589775
,,0.94,96.78773,1.05,98.12869,0.789,99.59218
,,0.95,96.84723,1.06,98.09951,0.791,99.599115
,,0.96,96.88112,1.07,98.06535,0.793,99.604205
,,0.97,96.90266,1.08,98.04076,0.795,99.60657
,,0.98,96.93297,1.09,98.02442,0.797,99.60409
,,0.99,96.97016,1.1,97.9836,0.799,99.602225
,,1,97.01422,1.11,98.02594,0.801,99.60495
,,1.01,97.05934,1.12,98.00969,0.803,99.609
,,1.02,97.09801,1.13,97.9457,0.805,99.616955
,,1.03,97.15207,1.14,97.94496,0.807,99.62443
,,1.04,97.20977,1.15,97.95262,0.809,99.631025
,,1.05,97.24538,1.16,97.9096,0.811,99.63691
,,1.06,97.26743,1.17,97.87296,0.813,99.642295
,,1.07,97.29012,1.18,97.86092,0.815,99.648725
,,1.08,97.33862,1.19,97.86164,0.817,99.652385
,,1.09,97.37035,1.2,97.7658,0.819,99.65659
,,1.1,97.40065,1.21,97.72644,0.821,99.662955
,,1.11,97.43418,1.22,97.71242,0.823,99.668315
,,1.12,97.45601,1.23,97.65793,0.825,99.66741
,,1.13,97.49647,1.24,97.65883,0.827,99.661865
,,1.14,97.53817,1.25,97.63138,0.829,99.658545
,,1.15,97.56533,1.26,97.63444,0.831,99.655115
,,1.16,97.5786,1.27,97.60412,0.833,99.65118
,,1.17,97.60988,1.28,97.57046,0.835,99.64534
,,1.18,97.63232,1.29,97.52484,0.837,99.638295
,,1.19,97.64257,1.3,97.50892,0.839,99.63286
