"#Wavelength in nm, units in L, dB/km; email from Armadillo SIA based on request on ceramoptec.com",,,,,,
Wavelength,UVNSS,UVNS,WFNS,UVWFS-1,UVWFS-2,UVWFS-3
300,123.6840414,126.6322385,139.6104672,210.9685751,157.1235854,183.3678086
301,121.669225,125.9437577,135.4185912,205.315988,153.3660997,178.5439823
302,119.74603,123.4592347,132.0309646,200.4999619,149.7732289,172.9563651
303,117.5083497,120.4914704,127.5660625,195.7588737,146.8727665,167.0938217
304,115.3485913,118.2438521,124.6600978,190.0161234,143.7252674,163.4858228
305,114.1617455,117.119017,121.9315044,185.4345911,140.7153865,159.627363
306,112.5905793,115.3511676,119.8001232,182.4693436,137.8815229,155.123494
307,110.4094768,113.2656345,117.7579192,179.6328727,136.1285249,151.6682765
308,108.4451495,111.3486205,116.0858536,175.4979792,133.8926877,148.2734437
309,106.7255941,110.3139194,114.8745854,170.9571181,131.0254942,144.5117295
310,103.9050682,109.6001416,112.4167074,167.1128636,128.4388801,141.016573
311,100.9976739,107.9976307,109.6391464,164.0491445,126.7359359,137.0411466
312,99.42124348,106.0168656,108.5266493,160.4867792,124.2942769,134.3598727
313,98.23194546,103.3008289,107.2297247,156.8307152,122.1054663,131.6898982
314,97.60943199,102.3991916,106.4768091,153.5282496,120.3868621,129.0273297
315,95.77033556,102.8497596,104.3632855,151.2122005,119.8132093,125.2067966
316,93.08218369,102.4177135,102.6252453,148.464726,117.6722562,123.5268985
317,90.99240347,100.8991074,100.7469049,145.027155,115.390531,121.3096004
318,89.52435324,99.03810428,99.80566951,141.9282253,114.0307057,121.3141461
319,87.97260618,97.05286483,98.34518419,139.6054521,112.4356431,119.7137652
320,86.73382119,96.18305037,96.67511492,138.2455366,110.0084451,117.680991
321,85.43899642,95.34813591,93.64081347,136.0050264,108.4818699,115.4175798
322,83.06255205,93.87169823,91.65685246,133.8126167,107.4046528,113.7590234
323,81.89212466,90.44928451,92.18722799,131.1301131,105.9718995,111.2838216
324,80.94471185,89.65994448,92.08279129,127.0445864,104.390785,108.309768
325,79.82954811,88.2363315,89.64260762,125.5579461,102.1082891,107.341532
326,78.18641501,87.80512845,86.82178727,123.4972882,101.6712297,106.2507191
327,76.87557859,85.36839169,84.95918641,122.58037,101.2523652,104.9250462
328,75.93228405,84.94461742,84.49673586,120.1053321,99.03429553,104.0673818
329,75.25782546,84.8618426,82.96821188,117.4129822,96.83050363,103.4925679
330,73.31619186,84.92360352,81.96268349,114.8031018,95.37220751,102.1459396
331,71.24819118,85.26624366,80.77602345,113.35184,95.08002664,100.6661168
332,70.61513918,83.8375721,78.96335153,112.7606793,94.12346604,97.34859367
333,70.01107869,81.81704986,78.24023831,112.0293967,92.62985249,96.09181238
334,68.41634448,79.38020914,77.61225207,110.9927607,91.74593293,95.59767425
335,67.28884394,78.80277729,76.24996689,108.5753621,90.61668775,95.17376875
336,65.86478163,78.77146767,75.17775751,106.0390424,88.06592962,93.18984796
337,64.19180562,78.53387637,74.0674514,104.3401963,85.89304896,92.14306961
338,63.08289003,75.61258862,73.25294427,102.3946296,85.96795208,91.73456842
339,63.04434608,72.66411537,72.37482101,99.51241525,85.26383384,89.9782217
340,63.15583204,71.07966444,71.72968623,97.80649432,84.81603397,87.222399
341,62.76132538,72.63602184,70.5258188,97.1920118,84.58003677,85.04942954
342,60.5657302,72.09942292,68.8810889,96.91516056,82.35894433,85.11578797
343,58.70187694,70.3825419,66.81583575,94.67531258,80.41543725,86.31389933
344,58.0051936,70.48218025,65.23345882,92.85959117,80.00097525,84.6492203
345,57.42003239,68.81760311,65.53892566,93.28652669,79.67484837,84.05519572
346,55.47560084,68.19905747,65.632746,92.9484136,79.61073199,83.01260917
347,54.99585228,66.73548759,64.96748503,90.10781076,78.96698344,81.7327323
348,55.54782953,65.61953982,64.7367966,87.00332987,77.06657812,79.92326058
349,55.62536488,64.42362639,61.73967207,85.05977388,75.88334433,78.60318346
350,54.77321065,64.14114259,59.22220826,82.76858168,76.33936715,77.72125103
351,53.4739856,64.0053233,59.39405535,80.8791594,74.68557009,76.48588371
352,51.97599405,63.42708325,59.72440479,80.86104576,72.51632007,74.60416665
353,51.11350354,62.0587313,59.41958134,80.28356179,71.57502376,74.09452856
354,50.16699414,62.0570204,58.20295317,78.63018863,71.71029649,73.17061457
355,50.03040097,61.05595181,57.0970406,75.92649024,72.8216055,71.96043213
356,48.10907883,60.60469748,57.29766979,74.18202241,72.98687947,70.67039274
357,46.38474314,60.98135801,56.72241061,73.68724465,70.48626465,70.15971082
358,44.97584028,61.16096697,55.80666734,73.06283035,70.54486768,69.13374944
359,45.19580384,61.2512039,56.39068086,73.43587481,69.62226359,69.18721021
360,44.45167719,59.11487057,54.9497487,72.67328766,67.13480032,67.36099927
361,43.6576302,56.78956513,52.76931023,71.079578,67.29833018,66.57658649
362,43.77530142,56.76535265,51.91684686,69.12071945,67.49238387,65.4107463
363,42.69906655,54.67048129,51.74938958,67.06047242,66.17450984,64.21795597
364,43.96818572,55.36288972,52.55903458,66.72707423,66.30932759,64.25777217
365,43.13780913,54.55410917,52.3387961,66.14628503,65.70979485,64.20993245
366,42.79759834,53.84742086,51.08041455,66.60824475,64.49871786,62.06258945
367,42.09061523,53.17544115,49.32801085,66.69025825,63.55046591,61.26490768
368,40.90905399,51.80732571,48.07359968,65.47870715,62.10184377,61.46874405
369,40.07984191,50.22692927,47.84481601,64.71499659,59.97983196,60.89749841
370,39.26869367,48.33721247,47.48131961,61.53087158,58.77700635,59.01508529
