Empty,Empyt2,Wavelength,Transmission,Reflection
,,300,6.9152,93.0848
,,301,7.00196,92.99804
,,302,5.72108,94.27892
,,303,2.28771,97.71229
,,304,1.29189,98.70811
,,305,1.14346,98.85654
,,306,1.06441,98.93559
,,307,0.82027,99.17973
,,308,0.75003,99.24997
,,309,1.05971,98.94029
,,310,2.55516,97.44484
,,311,7.28093,92.71907
,,312,8.69579,91.30421
,,313,11.0659,88.9341
,,314,11.82544,88.17456
,,315,11.85979,88.14021
,,316,13.75791,86.24209
,,317,19.73944,80.26056
,,318,21.12754,78.87246
,,319,14.38338,85.61662
,,320,14.81943,85.18057
,,321,24.83384,75.16616
,,322,30.3352,69.6648
,,323,17.39578,82.60422
,,324,13.82021,86.17979
,,325,17.61413,82.38587
,,326,29.07566,70.92434
,,327,28.37467,71.62533
,,328,15.74013,84.25987
,,329,8.66182,91.33818
,,330,5.21937,94.78063
,,331,4.03198,95.96802
,,332,4.74099,95.25901
,,333,10.55892,89.44108
,,334,15.25542,84.74458
,,335,3.04053,96.95947
,,336,1.21175,98.78825
,,337,0.82756,99.17244
,,338,0.85778,99.14222
,,339,1.3484,98.6516
,,340,3.6028,96.3972
,,341,19.19911,80.80089
,,342,20.19985,79.80015
,,343,7.85673,92.14327
,,344,6.23119,93.76881
,,345,6.3175,93.6825
,,346,7.02246,92.97754
,,347,9.19205,90.80795
,,348,15.05329,84.94671
,,349,25.42565,74.57435
,,350,52.17142,47.82858
,,351,38.30944,61.69056
,,352,79.37567,20.62433
,,353,39.99234,60.00766
,,354,17.38497,82.61503
,,355,13.00698,86.99302
,,356,14.57415,85.42585
,,357,19.71373,80.28627
,,358,16.56737,83.43263
,,359,5.75925,94.24075
,,360,2.45279,97.54721
,,361,1.66575,98.33425
,,362,1.95914,98.04086
,,363,4.10002,95.89998
,,364,2.05127,97.94873
,,365,0.61511,99.38489
,,366,0.30231,99.69769
,,367,0.22647,99.77353
,,368,0.23812,99.76188
,,369,0.29703,99.70297
,,370,0.32203,99.67797
