Wavelength,Reflectance
350.0,96.1
360.0,96.0
370.0,95.3
380.0,92.5
390.0,96.2
400.0,104.4
410.0,95.0
420.0,96.9
430.0,97.1
440.0,96.5
450.0,95.0
460.0,95.9
470.0,96.4
480.0,95.3
490.0,94.7
500.0,95.2
510.0,95.4
520.0,95.4
530.0,95.2
540.0,95.4
550.0,95.4
560.0,95.5
570.0,95.8
580.0,95.3
590.0,95.7
600.0,95.2
610.0,95.8
620.0,95.4
630.0,95.9
640.0,95.9
650.0,95.3
660.0,95.5
670.0,95.3
680.0,95.4
690.0,95.5
700.0,95.8
710.0,95.5
720.0,95.5
730.0,95.0
740.0,95.5
750.0,95.3
760.0,95.5
770.0,94.7
780.0,95.2
790.0,95.2
800.0,95.3
810.0,95.0
820.0,94.8
830.0,94.9
840.0,95.1
850.0,95.3
860.0,95.1
870.0,94.9
880.0,95.0
890.0,94.4
900.0,95.0
910.0,94.8
920.0,95.8
930.0,95.4
940.0,94.6
950.0,94.3
960.0,92.1
970.0,95.2
980.0,94.5
990.0,96.7
1000.0,92.7
,
