Wavelength (nm),Non protected Aluminum: NiCr + Al,Protected Aluminum: NiCr + Al + SiN4 (2nm),M2 protected Silver (average of 6 witness samples)
1100,95.45,94.29,99.36
1099,95.44,94.29,99.36
1098,95.44,94.29,99.35
1097,95.43,94.25,99.35
1096,95.41,94.26,99.36
1095,95.38,94.25,99.35
1094,95.37,94.24,99.35
1093,95.36,94.24,99.35
1092,95.34,94.22,99.35
1091,95.34,94.21,99.35
1090,95.31,94.20,99.35
1089,95.31,94.21,99.35
1088,95.30,94.19,99.34
1087,95.28,94.18,99.34
1086,95.26,94.17,99.35
1085,95.24,94.16,99.34
1084,95.24,94.15,99.34
1083,95.22,94.14,99.33
1082,95.21,94.11,99.33
1081,95.20,94.11,99.33
1080,95.18,94.10,99.34
1079,95.17,94.08,99.35
1078,95.15,94.08,99.33
1077,95.13,94.07,99.33
1076,95.12,94.06,99.33
1075,95.10,94.04,99.32
1074,95.09,94.02,99.33
1073,95.08,94.03,99.33
1072,95.07,93.99,99.32
1071,95.05,94.03,99.33
1070,95.02,94.01,99.32
1069,95.02,93.98,99.32
1068,95.01,93.99,99.32
1067,94.99,93.97,99.31
1066,94.97,93.95,99.32
1065,94.95,93.95,99.32
1064,94.95,93.93,99.31
1063,94.93,93.93,99.31
1062,94.92,93.92,99.31
1061,94.91,93.90,99.31
1060,94.88,93.90,99.31
1059,94.87,93.89,99.31
1058,94.86,93.88,99.31
1057,94.83,93.87,99.31
1056,94.84,93.87,99.30
1055,94.81,93.85,99.31
1054,94.79,93.84,99.30
1053,94.79,93.83,99.30
1052,94.75,93.82,99.31
1051,94.75,93.81,99.30
1050,94.74,93.79,99.30
1049,94.72,93.80,99.30
1048,94.70,93.77,99.30
1047,94.70,93.75,99.30
1046,94.69,93.74,99.32
1045,94.65,93.72,99.30
1044,94.63,93.71,99.30
1043,94.63,93.69,99.30
1042,94.62,93.70,99.30
1041,94.60,93.67,99.30
1040,94.59,93.66,99.30
1039,94.58,93.68,99.30
1038,94.56,93.66,99.30
1037,94.54,93.64,99.29
1036,94.52,93.64,99.25
1035,94.52,93.63,99.28
1034,94.50,93.59,99.29
1033,94.48,93.58,99.28
1032,94.45,93.56,99.30
1031,94.43,93.55,99.29
1030,94.41,93.53,99.29
1029,94.40,93.52,99.30
1028,94.37,93.50,99.29
1027,94.35,93.49,99.29
1026,94.34,93.48,99.29
1025,94.31,93.46,99.29
1024,94.30,93.44,99.29
1023,94.28,93.43,99.30
1022,94.27,93.41,99.28
1021,94.25,93.40,99.29
1020,94.25,93.38,99.29
1019,94.24,93.35,99.29
1018,94.21,93.35,99.29
1017,94.16,93.31,99.29
1016,94.14,93.30,99.30
1015,94.12,93.29,99.28
1014,94.11,93.27,99.29
1013,94.08,93.26,99.29
1012,94.07,93.23,99.28
1011,94.05,93.21,99.28
1010,94.03,93.19,99.29
1009,94.01,93.18,99.28
1008,93.99,93.15,99.28
1007,93.96,93.13,99.28
1006,93.95,93.11,99.28
1005,93.93,93.09,99.28
1004,93.91,93.07,99.28
1003,93.89,93.05,99.28
1002,93.86,93.03,99.28
1001,93.85,93.02,99.28
1000,93.82,93.00,99.28
999,93.79,92.97,99.28
998,93.78,92.94,99.28
997,93.76,92.93,99.28
996,93.74,92.90,99.27
995,93.72,92.87,99.27
994,93.69,92.85,99.28
993,93.67,92.83,99.28
992,93.65,92.81,99.27
991,93.63,92.79,99.27
990,93.59,92.76,99.27
989,93.58,92.73,99.27
988,93.56,92.72,99.27
987,93.53,92.69,99.27
986,93.51,92.66,99.27
985,93.48,92.65,99.27
984,93.46,92.62,99.26
983,93.42,92.60,99.27
982,93.41,92.58,99.27
981,93.39,92.55,99.27
980,93.34,92.52,99.26
979,93.33,92.49,99.26
978,93.31,92.46,99.27
977,93.28,92.43,99.26
976,93.24,92.40,99.26
975,93.22,92.39,99.26
