Wavelength,Reflectance
300,16.091164
301,17.304472
302,18.642181
303,20.107572
304,21.70348
305,23.432223
306,25.295524
307,27.294431
308,29.429236
309,31.699403
310,34.103489
311,37.461983
312,40.815668
313,44.140309
314,47.41367
315,50.615682
316,53.728506
317,56.736507
318,59.626139
319,62.385757
320,65.005351
321,66.037978
322,67.136239
323,68.297638
324,69.524907
325,70.826767
326,72.21827
327,73.720084
328,75.356058
329,77.148905
330,79.114761
331,79.412488
332,79.741013
333,80.098616
334,80.484172
335,80.89685
336,81.335922
337,81.800643
338,82.290192
339,82.803638
340,83.339934
341,83.417547
342,83.499536
343,83.585847
344,83.676399
345,83.771091
346,83.869803
347,83.972402
348,84.078744
349,84.188675
350,84.302035
351,84.468362
352,84.635592
353,84.803631
354,84.972389
355,85.141776
356,85.311703
357,85.482087
358,85.652843
359,85.823891
360,85.995151
361,86.083772
362,86.171966
363,86.259729
364,86.347059
365,86.433952
366,86.520404
367,86.606412
368,86.691974
369,86.777087
370,86.861748
371,86.951815
372,87.041298
373,87.130196
374,87.218511
375,87.306241
376,87.393388
377,87.479951
378,87.565933
379,87.651333
380,87.736152
381,87.927753
382,88.120097
383,88.313012
384,88.506333
385,88.699901
386,88.893564
387,89.087174
388,89.280593
389,89.473686
390,89.666327
391,89.746464
392,89.826125
393,89.905307
394,89.984007
395,90.062223
396,90.139953
397,90.217195
398,90.293949
399,90.370211
400,90.445981
401,90.518318
402,90.590185
403,90.661581
404,90.732507
405,90.802961
406,90.872944
407,90.942456
408,91.011497
409,91.080067
410,91.148167
411,91.210479
412,91.272352
413,91.333787
414,91.394787
415,91.455352
416,91.515486
417,91.575189
418,91.634465
419,91.693315
420,91.751742
421,91.808632
422,91.86511
423,91.92118
424,91.976843
425,92.032102
426,92.086959
427,92.141417
428,92.195477
429,92.249143
430,92.302416
431,92.338891
432,92.375155
433,92.411208
434,92.447052
435,92.482686
436,92.518112
437,92.546931
438,92.575653
439,92.604278
440,92.632805
441,92.672
442,92.71095
443,92.749656
444,92.788119
445,92.82634
446,92.864321
447,92.902062
448,92.939566
449,92.976834
450,93.013866
451,93.037598
452,93.061233
453,93.08477
454,93.108209
455,93.131549
456,93.154791
457,93.177934
458,93.200979
459,93.223925
460,93.246771
461,93.269626
462,93.292391
463,93.315066
464,93.337651
465,93.360144
466,93.382547
467,93.40486
468,93.427081
469,93.449211
470,93.47125
471,93.499562
472,93.527704
473,93.555676
474,93.583479
475,93.611116
476,93.638586
477,93.665892
478,93.693034
479,93.720013
480,93.746831
481,93.763551
482,93.780209
483,93.796806
484,93.813342
485,93.829816
486,93.846228
487,93.86258
488,93.878869
489,93.895098
490,93.911265
491,93.929991
492,93.948639
493,93.962831
494,93.976989
495,93.991115
496,94.005208
497,94.019266
498,94.033291
499,94.047282
500,94.061238
501,94.07151
502,94.081777
503,94.092036
504,94.102288
505,94.112533
506,94.122769
507,94.132997
508,94.143217
509,94.153427
510,94.163627
511,94.178984
512,94.194273
513,94.209492
514,94.224643
515,94.239727
516,94.254743
517,94.269691
518,94.284573
519,94.299389
520,94.314139
521,94.323719
522,94.333286
523,94.342839
524,94.352379
525,94.361905
526,94.371417
527,94.380915
528,94.390398
529,94.399867
530,94.409321
531,94.419973
532,94.430598
533,94.441197
534,94.45177
535,94.462316
536,94.472836
537,94.48333
538,94.493796
539,94.504237
540,94.51465
541,94.525593
542,94.536496
543,94.547361
544,94.558186
545,94.568972
546,94.57972
547,94.587636
548,94.595545
549,94.603447
550,94.61134
551,94.616656
552,94.621996
553,94.627359
554,94.632745
555,94.638154
556,94.643584
557,94.649035
558,94.654507
559,94.659998
560,94.66551
561,94.671769
562,94.678037
563,94.684315
564,94.690601
565,94.696896
566,94.703199
567,94.70951
568,94.715829
569,94.722154
570,94.728486
571,94.732129
572,94.7358
573,94.739499
574,94.743223
575,94.746974
576,94.750751
577,94.754552
578,94.758379
579,94.762229
580,94.766104
581,94.768303
582,94.770537
583,94.772806
584,94.77511
585,94.777448
586,94.779819
587,94.782222
588,94.784659
589,94.787127
590,94.789626
591,94.799092
592,94.808536
593,94.817956
594,94.827353
595,94.836727
596,94.846079
597,94.855407
598,94.864712
599,94.873995
600,94.883254
601,94.887949
602,94.892651
603,94.897361
604,94.902078
605,94.906801
606,94.911532
607,94.916269
608,94.921012
609,94.925761
610,94.930517
611,94.934339
612,94.938176
613,94.942026
614,94.94589
615,94.949768
616,94.953658
617,94.957561
618,94.961476
619,94.965403
620,94.969343
621,94.978238
622,94.987106
623,94.995948
624,95.004762
625,95.013549
626,95.022309
627,95.031042
628,95.039749
629,95.048429
630,95.057082
631,95.060239
632,95.063413
633,95.066605
634,95.069812
635,95.073037
636,95.076277
637,95.079533
638,95.082804
639,95.086091
640,95.089393
641,95.095573
642,95.101741
643,95.107896
644,95.114037
645,95.120166
646,95.126282
647,95.132385
648,95.138475
649,95.144552
650,95.150616
651,95.146379
652,95.142162
653,95.137964
654,95.133785
655,95.129626
656,95.125486
657,95.121366
658,95.117265
659,95.113182
660,95.109119
661,95.102761
662,95.09642
663,95.090097
664,95.083791
665,95.077502
666,95.07123
667,95.064976
668,95.058738
669,95.052518
670,95.046314
671,95.037088
672,95.027885
673,95.018704
674,95.009546
675,95.000411
676,94.991299
677,94.982209
678,94.973141
679,94.964096
680,94.955073
681,94.953942
682,94.952812
683,94.951682
684,94.950553
685,94.949424
686,94.948296
687,94.947169
688,94.946042
689,94.944916
690,94.943791
691,94.940036
692,94.93629
693,94.932552
694,94.928823
695,94.925101
696,94.921388
697,94.917683
698,94.913987
699,94.910298
700,94.906618
701,94.904074
702,94.901536
703,94.899003
704,94.896476
705,94.893954
706,94.891438
707,94.888927
708,94.886421
709,94.883921
710,94.881427
711,94.879231
712,94.877058
713,94.874906
714,94.872776
715,94.870667
716,94.86858
717,94.866513
718,94.864468
719,94.862444
720,94.86044
721,94.860791
722,94.861133
723,94.861467
724,94.861793
725,94.862111
726,94.862421
727,94.862722
728,94.863016
729,94.863303
730,94.863581
731,94.860125
732,94.856697
733,94.853295
734,94.849921
735,94.846574
736,94.843253
737,94.839959
738,94.836691
739,94.83345
740,94.830234
741,94.828192
742,94.826167
743,94.82416
744,94.822171
745,94.8202
746,94.818246
747,94.81631
748,94.814391
749,94.81249
750,94.810606
751,94.81118
752,94.811755
753,94.812333
754,94.812912
755,94.813493
756,94.814076
757,94.81466
758,94.815247
759,94.815835
760,94.816424
761,94.814742
762,94.813055
763,94.811363
764,94.809666
765,94.807964
766,94.806257
767,94.804546
768,94.80283
769,94.80111
770,94.799385
771,94.798179
772,94.796992
773,94.795822
774,94.794671
775,94.793537
776,94.792421
777,94.791322
778,94.790241
779,94.789178
780,94.788132
781,94.787462
782,94.786806
783,94.786162
784,94.785532
785,94.784914
786,94.784309
787,94.783716
788,94.783136
789,94.782568
790,94.782013
791,94.779023
792,94.776036
793,94.773053
794,94.770073
795,94.767097
796,94.764125
797,94.761155
798,94.75819
799,94.755228
800,94.75227
801,94.759539
802,94.766789
803,94.774021
804,94.781235
805,94.78843
806,94.795607
807,94.802766
808,94.809906
809,94.817029
810,94.824133
