Name,Surface Face,,,Point,,,Delta,,,
,X1,Y1,Z1,X2,Y2,Z2,dX,dY,dZ,Mag
,(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm)
A::Surface2::1,-91.157,350.02,39.245,-91.147,349.983,39.158,0.01,-0.037,-0.087,-0.095
A::Surface2::2,-87.906,338.772,44.323,-87.898,338.741,44.249,0.008,-0.031,-0.074,-0.08
A::Surface2::4,-81.102,318.986,53.177,-81.096,318.961,53.113,0.007,-0.026,-0.063,-0.068
A::Surface2::6,-83.848,303.037,59.26,-83.843,303.018,59.212,0.005,-0.019,-0.048,-0.052
A::Surface2::7,-81.255,293.852,63.13,-81.251,293.834,63.084,0.005,-0.018,-0.046,-0.049
A::Surface2::8,-68.014,280.031,69.75,-68.011,280.021,69.723,0.003,-0.01,-0.027,-0.029
A::Surface2::9,-69.676,272.173,72.547,-69.674,272.164,72.521,0.002,-0.01,-0.026,-0.028
A::Surface2::10,-69.08,257.895,77.839,-69.078,257.889,77.822,0.002,-0.006,-0.017,-0.018
A::Surface2::12,-48.902,218.948,92.95,-48.905,218.963,92.995,-0.003,0.015,0.045,0.048
A::Surface2::13,-47.367,208.985,96.259,-47.371,209.003,96.317,-0.004,0.018,0.058,0.061
A::Surface2::14,-43.247,190.358,102.24,-43.252,190.383,102.325,-0.006,0.025,0.085,0.089
A::Surface2::17,-27.791,165.2,110.173,-27.797,165.239,110.316,-0.006,0.038,0.144,0.149
A::Surface2::18,-192.996,158.621,84.106,-192.998,158.623,84.114,-0.002,0.002,0.008,0.009
A::Surface2::19,-290.867,119.611,59.218,-290.844,119.602,59.158,0.023,-0.009,-0.06,-0.065
A::Surface2::21,-198.121,34.998,100.354,-198.153,35.004,100.46,-0.032,0.006,0.106,0.111
A::Surface2::22,-289.61,-56.473,67.004,-289.589,-56.469,66.952,0.02,0.004,-0.052,-0.056
A::Surface2::23,-197.078,-117.73,91.095,-197.1,-117.743,91.17,-0.022,-0.013,0.075,0.079
A::Surface2::26,-260.961,-243.018,41.478,-260.907,-242.968,41.309,0.054,0.05,-0.169,-0.184
A::Surface2::27,-241.175,-233.826,50.31,-241.135,-233.788,50.18,0.039,0.038,-0.13,-0.141
A::Surface2::29,-222.895,-222.625,58.971,-222.868,-222.598,58.878,0.027,0.027,-0.093,-0.1
A::Surface2::30,-204.011,-215.014,66.455,-203.994,-214.996,66.394,0.017,0.017,-0.061,-0.066
A::Surface2::31,-180.316,-201.077,76.593,-180.312,-201.073,76.58,0.003,0.004,-0.013,-0.014
A::Surface2::32,-158.053,-180.916,87.409,-158.064,-180.929,87.457,-0.011,-0.013,0.048,0.051
A::Surface2::33,-132.529,-158.425,98.609,-132.555,-158.456,98.736,-0.026,-0.031,0.128,0.134
A::Surface2::34,-114.428,-136.138,107.196,-114.462,-136.179,107.383,-0.034,-0.04,0.187,0.194
A::Surface2::35,-109.35,-128.444,109.73,-109.388,-128.488,109.945,-0.038,-0.045,0.216,0.223
A::Surface2::36,-83.066,-293.463,63.022,-83.057,-293.431,62.94,0.009,0.032,-0.082,-0.088
A::Surface2::38,-38.721,-244.107,84.951,-38.723,-244.121,84.99,-0.002,-0.014,0.039,0.042
A::Surface2::40,37.44,-315.22,57.974,37.436,-315.179,57.873,-0.005,0.041,-0.101,-0.109
A::Surface2::42,67.184,-242.971,83.187,67.187,-242.983,83.222,0.003,-0.012,0.035,0.037
A::Surface2::43,153.867,-292.295,52.645,153.843,-292.25,52.521,-0.024,0.046,-0.124,-0.134
A::Surface2::44,139.202,-120.872,105.331,139.24,-120.905,105.501,0.037,-0.032,0.17,0.177
A::Surface2::46,303.581,-196.419,39.297,303.517,-196.378,39.123,-0.064,0.041,-0.174,-0.19
A::Surface2::48,349.791,-98.271,38.53,349.721,-98.251,38.364,-0.07,0.02,-0.165,-0.181
A::Surface2::49,337.202,-94.438,44.231,337.147,-94.423,44.097,-0.055,0.016,-0.134,-0.146
A::Surface2::50,318.455,-86.608,52.776,318.412,-86.597,52.671,-0.042,0.011,-0.105,-0.113
A::Surface2::51,292.499,-80.38,63.696,292.475,-80.374,63.634,-0.024,0.007,-0.063,-0.068
A::Surface2::53,269.123,-72.226,73.364,269.114,-72.224,73.341,-0.008,0.002,-0.023,-0.024
A::Surface2::55,247.049,-66.643,81.853,247.054,-66.645,81.866,0.005,-0.001,0.013,0.014
A::Surface2::56,219.446,-53.763,92.326,219.471,-53.769,92.404,0.025,-0.006,0.078,0.082
A::Surface2::57,193.986,-39.193,101.325,194.023,-39.2,101.45,0.037,-0.008,0.125,0.13
A::Surface2::58,168.128,-28.337,109.272,168.178,-28.345,109.46,0.051,-0.009,0.188,0.195
A::Surface2::59,178.303,43.213,105.655,178.341,43.222,105.789,0.038,0.009,0.134,0.14
A::Surface2::61,227.062,108.82,83.373,227.064,108.82,83.378,0.002,0.001,0.005,0.005
A::Surface2::62,204.214,249.646,55.914,204.196,249.623,55.844,-0.018,-0.022,-0.07,-0.076
A::Surface2::64,160.725,231.501,72.198,160.718,231.492,72.167,-0.007,-0.01,-0.031,-0.033
A::Surface2::66,113.28,198.098,91.642,113.287,198.11,91.684,0.007,0.012,0.042,0.044
A::Surface2::67,59.287,178.654,104.319,59.296,178.681,104.413,0.009,0.026,0.094,0.098
A::Surface2::68,49.558,228.833,89.626,49.559,228.842,89.652,0.002,0.009,0.025,0.027
A::Surface2::69,0.893,301.682,64.411,0.893,301.662,64.363,0,-0.02,-0.049,-0.053
A::Surface2::70,-160.317,-39.579,110.726,-160.367,-39.591,110.922,-0.051,-0.013,0.196,0.202
A::Surface2::71,-170.669,-42.897,107.761,-170.715,-42.909,107.929,-0.046,-0.012,0.168,0.175
A::Surface2::72,-193.63,-48.727,100.793,-193.664,-48.735,100.907,-0.034,-0.009,0.114,0.119
A::Surface2::73,-215.367,-60.438,93.088,-215.393,-60.445,93.169,-0.026,-0.007,0.081,0.085
A::Surface2::74,-236.931,-76.24,84.38,-236.937,-76.242,84.397,-0.006,-0.002,0.017,0.018
A::Surface2::75,-254.975,-87.228,76.842,-254.968,-87.226,76.822,0.007,0.002,-0.02,-0.022
A::Surface2::76,-273.579,-97,68.882,-273.561,-96.993,68.833,0.018,0.006,-0.05,-0.053
A::Surface2::77,-291.781,-105.448,60.926,-291.75,-105.437,60.847,0.03,0.011,-0.079,-0.085
A::Surface2::78,-318.846,-116.28,48.849,-318.797,-116.262,48.725,0.049,0.018,-0.124,-0.135
A::Surface2::79,-338.677,-124.247,39.673,-338.612,-124.223,39.513,0.065,0.024,-0.16,-0.174
A::Surface2::80,-298.111,203.785,39.509,-298.073,203.759,39.402,0.039,-0.026,-0.107,-0.117
A::Surface2::81,-279.418,195.65,48.127,-279.388,195.629,48.042,0.03,-0.021,-0.085,-0.092
A::Surface2::82,-258.313,181.898,58.637,-258.288,181.88,58.562,0.025,-0.018,-0.075,-0.081
A::Surface2::83,-238.648,170.998,67.616,-238.635,170.988,67.573,0.014,-0.01,-0.042,-0.045
A::Surface2::84,-204.742,148.748,82.932,-204.742,148.749,82.933,0,0,0.001,0.001
A::Surface2::85,-182.283,135.145,92.064,-182.297,135.154,92.114,-0.013,0.01,0.05,0.052
A::Surface2::86,-159.19,117.642,101.383,-159.212,117.658,101.472,-0.022,0.016,0.09,0.094
A::Surface2::88,157.909,49.757,110.641,157.954,49.771,110.82,0.046,0.014,0.179,0.185
A::Surface2::89,181.015,62.49,103.301,181.047,62.501,103.417,0.033,0.011,0.117,0.122
A::Surface2::90,211.674,70.164,93.345,211.696,70.171,93.412,0.021,0.007,0.067,0.071
A::Surface2::92,240.092,84.155,82.42,240.093,84.155,82.423,0.001,0,0.003,0.003
A::Surface2::93,262.253,99.187,72.727,262.242,99.183,72.696,-0.011,-0.004,-0.031,-0.033
A::Surface2::95,278.195,110.45,65.325,278.175,110.442,65.269,-0.021,-0.008,-0.056,-0.06
A::Surface2::96,294.177,122.455,57.505,294.147,122.443,57.428,-0.029,-0.012,-0.077,-0.083
A::Surface2::97,332.536,139.708,39.678,332.487,139.687,39.554,-0.05,-0.021,-0.124,-0.135
A::Surface2::98,143.914,330.947,39.595,143.898,330.908,39.499,-0.017,-0.038,-0.096,-0.104
A::Surface2::99,135.494,312.879,48.184,135.481,312.849,48.107,-0.013,-0.03,-0.077,-0.084
A::Surface2::100,128.53,280.271,61.728,128.52,280.251,61.673,-0.009,-0.021,-0.056,-0.06
A::Surface2::101,115.058,236.157,79.425,115.056,236.151,79.407,-0.003,-0.006,-0.018,-0.019
A::Surface2::102,105.677,215.469,87.592,105.679,215.473,87.607,0.002,0.005,0.015,0.016
A::Surface2::103,88.952,184.786,99.185,88.962,184.806,99.255,0.01,0.02,0.071,0.074
A::Surface2::104,75.703,148.528,110.381,75.721,148.563,110.527,0.018,0.035,0.146,0.151
