Name,Begin,,,End,,,Delta,,,,
,X1,Y1,Z1,X2,Y2,Z2,dX,dY,dZ,Mag,
,(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),
1,829.67,7650.233,-1017.656,829.669,7650.239,-1017.656,-0.001,0.005,0,0.006, 
2,823.174,7648.39,-1007.071,823.175,7648.389,-1007.071,0,-0.002,0,-0.002, 
3,811.093,7644.776,-995.738,811.094,7644.772,-995.738,0.001,-0.004,0,-0.004, 
4,798.468,7640.707,-984.589,798.467,7640.708,-984.589,0,0.001,0,0.001, 
5,787.715,7636.988,-974.621,787.712,7636.998,-974.62,-0.003,0.01,0.001,0.011, 
6,779.055,7633.916,-967.853,779.054,7633.92,-967.853,-0.001,0.004,0,0.004, 
7,770.163,7630.418,-957.361,770.165,7630.413,-957.362,0.001,-0.004,0,-0.004, 
8,758.933,7626.058,-947.918,758.934,7626.055,-947.918,0.001,-0.003,0,-0.003, 
9,751.044,7622.719,-939.115,751.046,7622.713,-939.115,0.002,-0.005,0,-0.006, 
10,740.175,7618.144,-929.22,740.174,7618.146,-929.219,-0.001,0.002,0,0.002, 
11,727.613,7612.587,-916.931,727.614,7612.587,-916.931,0,0,0,0, 
12,717.054,7607.955,-908.538,717.054,7607.957,-908.538,0,0.001,0,0.001, 
13,704.218,7602.267,-899.222,704.217,7602.269,-899.222,-0.001,0.002,0,0.002, 
14,697.913,7599.431,-894.765,697.914,7599.429,-894.765,0.001,-0.003,0,-0.003, 
15,683.915,7593.088,-885.512,683.917,7593.084,-885.512,0.002,-0.004,0,-0.004, 
16,917.194,7611.687,-1279.499,917.194,7611.69,-1279.501,0,0.004,-0.002,0.004, 
17,917.548,7603.923,-1296.637,917.549,7603.921,-1296.636,0,-0.003,0.001,-0.003, 
18,912.315,7594.978,-1313.838,912.315,7594.977,-1313.838,0,-0.001,0,-0.001, 
19,908.955,7587.508,-1327.836,908.954,7587.515,-1327.839,-0.001,0.007,-0.004,0.008, 
20,907.4,7580.816,-1340.353,907.4,7580.819,-1340.354,0,0.003,-0.002,0.003, 
21,908.621,7574.503,-1352.539,908.621,7574.504,-1352.539,0,0.001,0,0.001, 
22,910.058,7567.784,-1365.196,910.059,7567.781,-1365.194,0,-0.004,0.002,-0.004, 
23,908.056,7561.373,-1376.177,908.056,7561.369,-1376.176,0,-0.003,0.002,-0.004, 
24,908.663,7554.167,-1388.937,908.662,7554.168,-1388.938,0,0.002,-0.001,0.002, 
25,907.37,7548.065,-1399.112,907.37,7548.065,-1399.112,0,-0.001,0,-0.001, 
27,904.764,7534.711,-1420.89,904.764,7534.712,-1420.891,0,0.001,-0.001,0.001, 
28,903.363,7530.55,-1427.407,903.363,7530.549,-1427.407,0,0,0,0, 
29,904.834,7524.267,-1437.94,904.834,7524.266,-1437.939,0,-0.002,0.001,-0.002, 
30,912.19,7512.143,-1458.771,912.19,7512.138,-1458.769,0.001,-0.004,0.003,-0.005, 
31,1118.628,7658.587,-1041.433,1118.629,7658.587,-1041.433,0,0.001,0,0.001, 
32,1136.316,7655.153,-1034.744,1136.315,7655.15,-1034.744,-0.001,-0.004,0,-0.004, 
33,1155.608,7650.919,-1029.553,1155.608,7650.918,-1029.553,0,0,0,0, 
34,1171.496,7647.12,-1025.619,1171.497,7647.125,-1025.619,0.001,0.005,0,0.006, 
35,1187.257,7643.165,-1018.775,1187.257,7643.163,-1018.775,0,-0.002,0,-0.002, 
36,1199.436,7639.954,-1012.382,1199.436,7639.954,-1012.382,0,0,0,0, 
37,1215.593,7635.431,-1007.398,1215.593,7635.431,-1007.398,0,0,0,0, 
39,1237.92,7628.859,-996.936,1237.921,7628.863,-996.936,0.001,0.004,0,0.004, 
40,1248.855,7625.488,-993.365,1248.856,7625.492,-993.365,0.001,0.003,0,0.004, 
41,1260.882,7621.685,-989.284,1260.884,7621.691,-989.284,0.002,0.006,0,0.007, 
42,1270.748,7618.495,-983.389,1270.748,7618.496,-983.389,0,0.001,0,0.002, 
43,1283.489,7614.281,-980.404,1283.487,7614.276,-980.404,-0.002,-0.005,0,-0.006, 
44,1294.307,7610.624,-974.753,1294.307,7610.624,-974.753,0,0,0,0, 
45,1303.335,7607.502,-968.14,1303.331,7607.491,-968.14,-0.004,-0.012,0,-0.012, 
